uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:2x06OTxUcGUvUwacut640P,Feels Like The First Time,0.593,0.828,0.0355,0.000758,,
spotify:track:7M6wrpIe9lsNYgLu02JWMB,Save Your Breath,0.558,0.974,0.0985,0.0162,,
spotify:track:7irS1d9sepVtxIrGQKc0Vy,Beer% Bait and Ammo,0.738,0.539,0.0267,0.149,,
spotify:track:7Jd4nhiiyWs41KpZqCfYL7,Hermoso Eres Tu,0.0851,0.547,0.0325,0.815,,
spotify:track:5hMiUOSRp2vAL14feoTUQt,Ohio,0.423,0.549,0.0358,0.453,,
spotify:track:58J0a3eXA1BtCODfBVwOIe,118 Balazos,0.979,0.464,0.0514,0.473,,
spotify:track:4dHbvCkrv6E5Wx4tvfp4FW,I'm Born To Run,0.719,0.922,0.054,0.0693,,
spotify:track:0iQODaalmmFLErQ1JLkVPy,Games People Play,0.627,0.693,0.168,0.226,,
spotify:track:6z5ghedLqTljjIHS82Wgru,Everybody Wants to Go to Heaven,0.559,0.695,0.101,0.38,,
spotify:track:5MT4nmFnkght672tlg6mXo,Prove - Original Mix,0.608,0.884,0.0585,0.00314,,
spotify:track:1KaJKWLzlh665uUVmOadTC,Turns Turns Turns,0.395,0.293,0.0311,0.0316,,
spotify:track:06qZDOq8s6eiITgHCIVOEE,True Contrite,0.28,0.949,0.107,0.00174,,
spotify:track:4WoooS9l85UnMEEiXzC6U6,Trap House,0.548,0.961,0.377,0.208,,
spotify:track:3z4wXqLQaZR8c9ox5K0NPl,Super Gran Turismo,0.156,0.635,0.106,9.04E-05,,
spotify:track:5Um9OgXhwD4qk47aPcCCaz,A Condom?,0.0658,0.987,0.928,0.479,,
spotify:track:2Ewas6ys7AB0UXmjFklQMt,Guilty As Charged,0.261,0.665,0.0505,0.138,,
spotify:track:03WKCY9wDhFUx0eWBsPRT5,My Love,0.122,0.16,0.0362,0.689,,
spotify:track:55RqtfETOL4seSGn47A9JJ,Canones Diversi Super Thema Regium: Canon 4 A 2 Per Augmentationem% Contario Motu (Bach),0.0506,0.0167,0.0453,0.965,,
spotify:track:7t5E0DQ6jmt8QMuOtohTY9,Gettin' It,0.453,0.707,0.0657,0.0577,,
spotify:track:0SzvmWfOhoxZVGrmvb56YL,Baby I'm Yours,0.64,0.595,0.0347,0.215,,
spotify:track:5TyCq1VLckTwVborWFNdBE,Somebody You Found,0.41,0.54,0.0325,0.833,,
spotify:track:1wxatjgEEte0f0XrP1HXAj,Bullfight,0.249,0.954,0.109,0.000148,,
spotify:track:0e1iU6tkgwXgSs3PtBFZUI,Blue Streak Mama,0.801,0.406,0.0899,0.0432,,
spotify:track:3LJAL2uzwyTnrEyRvqGUwv,My Heart Can't Tell You No,0.465,0.652,0.025,0.175,,
spotify:track:18wytWVCb4uleDcCtRxfYd,A Thousand Miles,0.322,0.967,0.113,0.00269,,
spotify:track:78XbdWRCuJWvJl22Kq0yfM,Trap Luv,0.339,0.858,0.457,0.0899,,
spotify:track:2IrSaLKm7lRRDVKrEUZsxe,Live My Life - Party Rock Remix,0.478,0.776,0.0579,0.00642,,
spotify:track:4VtPyKjAywbIBpwQW2FdWW,Guns of Hysteria,0.724,0.878,0.0327,0.0597,,
spotify:track:068SnuV1qOUC4YBlN8HM0n,Starships (Glee Cast Version),0.597,0.616,0.0381,0.0368,,
spotify:track:2V3EBbauVyLyc8nU2igZyJ,You're Mine (Eternal) - Remix,0.502,0.637,0.156,0.43,,
spotify:track:02fccw8NeJ1r6SDIVbwhaw,That Ain't My Style,0.365,0.557,0.0279,0.231,,
spotify:track:0s3WRfuZtAZ2940hxIUCIX,Landslide (with the Melbourne Symphony) - Live 2006,0.458,0.494,0.0428,0.791,,
spotify:track:2C0Y5RUvreuiElhHuce9Rv,The Truth,0.477,0.393,0.0471,0.6,,
spotify:track:1y4qUmdo0DTgKC5OME5zie,Aquarius,0.209,0.492,0.169,0.00747,,
spotify:track:4wqY0dIMyAeaX80oe9N8NB,Take You Down - West Coast Lo Fi Remix,0.106,0.811,0.0323,0.000413,,
spotify:track:4mEGUDf9wf7V42fBKOKPEe,All For You - Acoustic,0.672,0.646,0.0397,0.127,,
spotify:track:2suE76uvhA05ks3YbvwRGT,No Sales de Mi Mente (feat. Nicky Jam),0.924,0.792,0.0402,0.106,,
spotify:track:6iFN2vqe78WzlVqOGAXVDD,Touchdown (Island Love Version),0.96,0.826,0.0622,0.0901,,
spotify:track:2GfVTDSxVB9eWEPhIM4pfB,Fairytale,0.319,0.512,0.258,0.226,,
spotify:track:5ouEKFLJwLAZBZONV5YSJQ,Damn (feat. Tory Lanez),0.0921,0.622,0.0648,0.00286,,
spotify:track:3g89GCOIXBGmlljIGzGFM6,Heavenly Father,0.115,0.279,0.034,0.931,,
spotify:track:2Lblp4MjbbnkVTLPjYCymL,More Than A Friend,0.611,0.779,0.0293,0.0939,,
spotify:track:5EDt7cxNUAVK0QlGjPo1dZ,Texas Kind of Way,0.497,0.691,0.0258,0.132,,
spotify:track:5R5PNhELQRDNSlRWElQvkH,Full of Fire,0.886,0.826,0.0738,0.218,,
spotify:track:6638ilEtP3op7pheqpNaSy,Sunshine Star,0.907,0.797,0.0975,0.29,,
spotify:track:2imB1AhOL2INWUv2T9Ff6A,Like a River Runs,0.336,0.866,0.0755,0.0139,,
spotify:track:5C8LL30HEDAeTUVsZtBOYV,Another Winter,0.5,0.961,0.0744,2.62E-06,,
spotify:track:47sPuNToa9EyS9qFJE7bmg,Oceans Away - Mansionair Remix,0.579,0.286,0.0341,0.807,,
spotify:track:51ygW389BW4Dut3B69pSwc,All I Need,0.0966,0.477,0.0358,0.517,,
spotify:track:3UFnjqDaLc6WMtvE1UrXek,Body,0.473,0.633,0.0594,0.131,,
spotify:track:4N5LrUf45OjWhoKGttgBma,Berlinition (ASOT 767) [Trending Track] - Paul van Dyk Club Mix,0.407,0.993,0.099,0.00142,,
spotify:track:4vmMpLsykUkIZ445IOA4tc,Con el Viento a Tu Favor,0.812,0.548,0.0301,0.603,,
spotify:track:3v5SkWGfJgyIJ5o83TC3Kr,Faded Away,0.519,0.839,0.04,0.12,,
spotify:track:2iNIdJqx4zvsOA1eY8I4QZ,Kings And Queens Of Summer,0.353,0.71,0.108,0.344,,
spotify:track:746dNi6HHDsOejQiCFL6N4,Sick City,0.827,0.357,0.0544,0.871,,
spotify:track:5oyOjV34CKcLDFwrom5pJS,Johnssong,0.152,0.415,0.0279,0.942,,
spotify:track:4izhmF4sQgGemZpLC68bC5,Before You Start Your Day,0.195,0.135,0.0295,0.976,,
spotify:track:6PGx58cvd3Ywycho35d1BI,Song for You,0.256,0.61,0.0377,0.0243,,
spotify:track:3PEDuxCwlOEAtyGFroMMXB,Ain't Got the Love (Of One Girl On My Mind),0.933,0.594,0.102,0.464,,
spotify:track:5LkShnPUvLtDrDg3WiezPT,Ni Aquí Ni Allá,0.834,0.491,0.0362,0.494,,
spotify:track:6saQA9W4rFt3L7353qwlst,Sleeping Lions - Hello Machines Remix,0.356,0.828,0.0341,0.00637,,
spotify:track:5BwvaW05K2lLDUcli2uzUU,Gotta Luv It,0.148,0.573,0.0562,0.0031,,
spotify:track:7al1LTUqsAXf9skBnBBKCi,Welcome to Zion,0.747,0.892,0.358,0.0903,,
spotify:track:69rA7B3UCUX9sJcKewiDZn,Suite from Poldark,0.0626,0.18,0.0344,0.752,,
spotify:track:0U9TKK9GYryei6Vn45TEdH,Over My Shoulder,0.82,0.826,0.0322,0.126,,
spotify:track:16nJl8NnriCJxraco5Zssm,Better Git It in Your Soul,0.76,0.548,0.0551,0.111,,
spotify:track:2fCoq1wZzsa18L8mD33iuM,Nasty's World (feat. A$AP Nast & Onyx),0.3,0.612,0.496,0.0896,,
spotify:track:15ciYsMWMFrI6m7YJwMvsK,Amor de lejos (cumbia),0.979,0.615,0.0655,0.575,,
spotify:track:5T01Xvq4sH0rakGkI1T5O5,Mi Niña Mujer,0.728,0.516,0.118,0.369,,
spotify:track:4D1Lwy0CJqAF2Eivj3yhu7,Don't Mess With Me,0.404,0.959,0.141,0.00018,,
spotify:track:12KP3TP0BYKhYWp0H3YXtq,Tocando Fondo,0.31,0.513,0.0301,0.102,,
spotify:track:5fPhJzsUXrjdvcCqzv5zkZ,Jimme's Song (Full Band Version),0.266,0.525,0.0354,0.0261,,
spotify:track:7pHe4yi7RQROwAh3ArPLOv,Bone Digger,0.815,0.752,0.0525,0.147,,
spotify:track:18efeGygYyi4nx3haDMdAa,Milord,0.627,0.466,0.0381,0.821,,
spotify:track:6JHrzpRYiDx53iTgTbI76X,Now or Never,0.753,0.836,0.0542,0.0155,,
spotify:track:7lg11NyWmYxjCv7RVr80ON,Ça marche (feat. The Shin Sekaï),0.789,0.848,0.0642,0.013,,
spotify:track:0R0sh2e0MMDiO0W8PO6QR5,Merry Christmas Baby (feat. Otis Redding),0.956,0.797,0.0323,0.179,,
spotify:track:3o2tw8emnaXFAIKBYdKW5T,Northern Lights,0.261,0.439,0.0289,0.548,,
spotify:track:0ZFqkCpQ7YrKAm0528LREE,Young Blood,0.463,0.819,0.0353,0.000175,,
spotify:track:4EHWldZTas5KUyFtT0rQlY,Lord% I Need You,0.185,0.451,0.029,0.517,,
spotify:track:3nb6e3Uy4mQTSwzIA5th4T,Piano Concerto No. 15 in B-Flat Major% K. 450: I. Allegro,0.204,0.105,0.0371,0.938,,
spotify:track:1fHVw9yA3EtBczo2WlQhB6,Better for You,0.299,0.527,0.0501,0.626,,
spotify:track:7KnMHRj5xqsOGLv8lGCPa6,That's How Country Boys Roll,0.902,0.919,0.0344,0.054,,
spotify:track:7CwboxAi6CvMcWrDfbxttR,Drink to That All Night (Remix) (feat. Pitbull),0.54,0.906,0.0373,0.00315,,
spotify:track:3E7B1HRCPJXW2cUUJk0Ahs,Daddy's Little Pumpkin,0.614,0.953,0.166,0.148,,
spotify:track:5Pid0OGT72XGdaqWx21HnT,All Black,0.552,0.307,0.274,0.00736,,
spotify:track:51kLX0Enc7K0WkTtd8DJz4,The Way That I Need You,0.179,0.234,0.0388,0.884,,
spotify:track:3JjRwcIywEnjwmrbckMxvq,Violin Concerto In E Minor% Op.64% MWV O14: 2. Andante,0.0409,0.106,0.0434,0.863,,
spotify:track:5XcZRgJv3zMhTqCyESjQrF,Poison,0.26,0.908,0.109,0.0327,,
spotify:track:0jEyJvSvqRWqGfSWDCGS7p,I Know There's Something Going On,0.906,0.813,0.0377,0.396,,
spotify:track:5JX11rWObF2DpfNQRw8tCD,Mad World,0.221,0.17,0.0373,0.964,,
spotify:track:5Gz6YzDviufVHUol06RdZc,Whoops (feat. Pennybirdrabbit),0.473,0.93,0.0606,0.0749,,
spotify:track:39AH6gca7HLdJyNfGreHc2,Back That Ass Up - Interlude 1,0.947,0.432,0.621,0.926,,
spotify:track:6Cyc1MlJ85UKlEE1WYWmcF,Melodymania,0.214,0.92,0.0405,0.0069,,
spotify:track:7eLTel7JxkVqAvuaFjYfJV,Instincts,0.446,0.604,0.109,0.0502,,
spotify:track:7LXEjMESJrDzKDOuXJFrWh,Not Enough,0.294,0.871,0.0328,0.0448,,
spotify:track:016DP00vwMNLR10fT8jQka,Resting Place (To the Cross),0.157,0.335,0.032,0.355,,
spotify:track:7sYPmn0AfedsuQiGj7XxfS,Bill's Theme,0.0712,0.271,0.0281,0.815,,
spotify:track:4hkxRZ8w96vVBAqwouabQY,Gimme Gimme,0.582,0.849,0.161,0.000905,,
spotify:track:03xWMkKEbeO4SnylA53ipj,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",0.385,0.42,0.0317,0.112,,
spotify:track:06WD650Zt5MQ55kFMP2f3r,Fire Fly,0.529,0.881,0.282,0.16,,
spotify:track:4m5zY9PRJvqPRDhDMJwSel,Preservation,0.348,0.697,0.11,0.0532,,
spotify:track:21AHQlJa5Q0s1Jx2PeulUD,Love in the Middle of a Firefight (feat. Brendon Urie),0.274,0.739,0.0255,0.00465,,
spotify:track:5bO44XhVOsVYe95Bq1klle,Fly,0.385,0.811,0.0364,0.0301,,
spotify:track:4yDOGxajDdWly73R2w3bkS,Representin,0.392,0.743,0.0519,0.1,,
spotify:track:0wwZfypdApHBjue2z9QnaD,Close To You,0.272,0.288,0.28,0.711,,
spotify:track:1oROKqfLC7IfODyTHOfc1L,"Jesu% Joy of Man's Desiring - ""Jesu bleibet meine Freude"" Mvmt 10 of the cantata Herz und Mund und Tat und Leben% BWV 147",0.261,0.175,0.0484,0.967,,
spotify:track:3YWgircLAgfwHLDwZTAEAV,From a Cage,0.205,0.901,0.103,7.65E-05,,
spotify:track:3KHwhq1ZsfBwRYtacrXqVP,Set Me Free,0.588,0.718,0.0429,0.000169,,
spotify:track:1IGP8u0IJoytYEtqupjpTi,Amarrado,0.192,0.673,0.0321,0.187,,
spotify:track:01vWrOtEdzlQorEhifVUo3,"Rotten to the Core - From ""Descendants: Wicked World""",0.822,0.831,0.0734,0.243,,
spotify:track:56Au7aSY0d1IoYkkOUkvBx,Tilted - Original Mix,0.808,0.508,0.0395,0.184,,
spotify:track:5FyUdab41uhfJbjvevXILq,A Chicken With Its Head Cut Off,0.874,0.853,0.063,0.677,,
spotify:track:049wfFS3kAsdmGOH8ktYJ3,Hablemos,0.582,0.534,0.0367,0.494,,
spotify:track:035QPHPAcqApSGMMcogT45,A Change Of Heart,0.528,0.51,0.0242,0.211,,
spotify:track:2utgliHzGNN3oFGF4BUhJ1,The Trillest,0.335,0.584,0.396,0.00719,,
spotify:track:1jopTbjNPQpFq53nbCMTkw,One Olive Jingle,0.513,0.293,0.03,0.83,,
spotify:track:0KShrDrdG6QjBjPiTDu0xl,Muqabla Muqabla,0.51,0.633,0.138,0.121,,
spotify:track:0nVzp5niCmyzS0NKSGIDyC,Dorian,0.185,0.245,0.0343,0.961,,
spotify:track:1o9qSSbiqbQqgtFlCFixYz,Beautiful Dream,0.189,0.431,0.0404,0.473,,
spotify:track:3vCWTvuCBx5518N8Af6kyR,Unchained Melody,0.406,0.165,0.0309,0.366,,
spotify:track:58AkcBdW5NpM2TBbkKbdK3,Latthay Di Chaadar,0.655,0.607,0.0366,0.613,,
spotify:track:5Azt1v0gQxdlnYg4UBSvah,Open Hands,0.451,0.784,0.0276,0.00335,,
spotify:track:3MC5kL23prAkiY0AyCieEt,Dark Mountain/The Challenge - Score,0.277,0.385,0.114,0.611,,
spotify:track:1Hle8Xb0v0CE4xJR8Ezr89,People Say,0.68,0.771,0.029,0.0318,,
spotify:track:7jSYbtjRLmIoIxqCd7HVsm,Question,0.373,0.496,0.0936,0.443,,
spotify:track:2Fi0wa2BV6o17Pc2bpS4fP,20K,0.163,0.955,0.143,0.00132,,
spotify:track:4LP2VeYnQCW8FpsUztef2Y,• TEMPTED,0.33,0.477,0.28,0.0585,,
spotify:track:1qVRnP3NeKUGkSS5KsQZzr,Electric Bones,0.671,0.879,0.0481,0.000911,,
spotify:track:72QcukxgXEtnhNNdxPsOWo,Top Diine,0.771,0.82,0.133,0.173,,
spotify:track:6iHYfzbDGaaxBecZDAWKRT,Every Night,0.53,0.872,0.0371,2.70E-05,,
spotify:track:2ED57zzfpNtv9ddn0ZX92c,Disappear,0.373,0.779,0.0408,0.382,,
spotify:track:3olRLf5Y57YlmoXKUuaw8m,Volví a Nacer - Versión Original,0.477,0.752,0.0387,0.0239,,
spotify:track:3HBvs6g8WgT8KT1gZzGSX1,Christmas (Baby Please Come Home),0.524,0.812,0.0544,0.0278,,
spotify:track:1v785WZqLWlA9bwsIfqBJV,Pa Pasar El Rato,0.738,0.799,0.0464,0.52,,
spotify:track:4ya66mvFqY8CMy3qatMkPd,Innocent,0.574,0.713,0.0313,0.168,,
spotify:track:4BdoRSMhsiaAXM71CAgbyc,The High Life (feat. Chase Rice),0.962,0.846,0.0389,0.0207,,
spotify:track:22sMPZLOqC50qdokktiKbP,Back To The Start,0.154,0.452,0.0266,0.634,,
spotify:track:3oUm7939M2ehHrKWILTsbZ,I Don't Even Care About You,0.346,0.798,0.0388,0.00465,,
spotify:track:0SxFyA4FqmEQqZVuAlg8lf,The First Time Ever I Saw Your Face,0.139,0.0264,0.037,0.731,,
spotify:track:3XmtHzS2cTrssQNa9L3ZjY,Woo,0.684,0.724,0.0417,0.121,,
spotify:track:0a9rpBTdOOtqAdJ1uaUeKE,Wonderful Christmastime,0.425,0.61,0.0269,0.00132,,
spotify:track:1ilIMHKW9EiojuRRqBuWfA,It's Good To Be Here,0.456,0.427,0.236,0.0731,,
spotify:track:53sl9JV4P7NijjY90QLYKU,Soulville,0.802,0.64,0.0469,0.564,,
spotify:track:7jDQBqpLFme3pUMRX31BsS,Downtown,0.839,0.812,0.0413,0.316,,
spotify:track:5Q0drnO7ebpIei81pX61wo,Sunburn,0.784,0.738,0.041,0.0537,,
spotify:track:0Y56O7F1yiuoYyCGrgLpJY,Greatness of Your Glory (Live),0.21,0.56,0.0293,0.00822,,
spotify:track:48s0QHJgmiNsth3WEO6U4M,Stop And Stare,0.251,0.859,0.0332,0.0659,,
spotify:track:6CLx4X6ovfxFwcBbr5vv59,Wait On Me,0.472,0.725,0.0367,0.0976,,
spotify:track:5gmxYUppTyTQHqY7XIWHbP,Redemption Song,0.307,0.51,0.0284,0.127,,
spotify:track:71tjsDvB4EMJqNG8EMmFnb,Comin' Home Baby,0.773,0.368,0.061,0.65,,
spotify:track:6hWHiqL9pFnfgbSAxxnfwm,Ref,0.814,0.718,0.062,0.00886,,
spotify:track:0IsjGDAqohBEdZWVoTaMjI,Raised by a Good Time,0.607,0.859,0.0402,0.0579,,
spotify:track:0Vvd870iXRgOsgLg53bEVk,System Preferences,0.255,0.593,0.0561,0.125,,
spotify:track:500czMxPNPwkY3sQd8kZEL,Bavarian #1 (Say You Will),0.754,0.756,0.0388,0.0205,,
spotify:track:4zhZzkvBYpTnyXMIRpivJz,I've Got Ten Friends And A Crowbar That Says You Ain't Gonna Do Jack,0.237,0.89,0.0656,0.000326,,
spotify:track:6bHuMRWeLOWB4F5jqntepJ,The Legend of Zelda Theme (Mlg Airhorn Version),0.764,0.787,0.0412,0.0296,,
spotify:track:3RyuWd7xlLJdLddH6Kt2o6,Is It Any Wonder?,0.816,0.955,0.0363,3.82E-05,,
spotify:track:610FzmkhFSsORpECZbjT4X,Bill Gates,0.669,0.798,0.227,0.274,,
spotify:track:4o0FookHr2YjY1RYPk1FJ6,We Are Family (Live),0.796,0.913,0.0635,0.155,,
spotify:track:5zouq58uwciUTe0rhrwKmc,Make You Feel,0.103,0.43,0.0399,0.787,,
spotify:track:4lFfOFB50bn640mHTdn8Y9,Love Can Grow Back,0.365,0.353,0.07,0.442,,
spotify:track:7k4XSoO4tmHuh5rBs2Jdvd,Feet Keep Moving,0.333,0.501,0.0609,0.205,,
spotify:track:63eW0Q8pylhG1Ykbr4Fk1Y,ShadyXV,0.586,0.778,0.35,0.154,,
spotify:track:2dZmVW9MW8etfaphGRpa2B,Please,0.3,0.679,0.0697,0.227,,
spotify:track:5aI7MXclT8lrhq8KRrwnyK,Don't Make A Target,0.692,0.65,0.0285,0.393,,
spotify:track:17yrCsl1Ai6CZLBmGj6d6p,Pretty Sweet,0.167,0.724,0.0499,0.258,,
spotify:track:4aw2rA67NHYXW3IaUSSs6K,Avrai,0.258,0.692,0.0391,0.331,,
spotify:track:75cBXhAPrws9DFwXF16qyI,Play Me,0.375,0.334,0.0293,0.624,,
spotify:track:5DaKYvyrzWgJOuAhHSLkrA,Oh Holy ToNight,0.191,0.336,0.0327,0.811,,
spotify:track:3nnwdAKEwqglIgpdoWOzD6,On My Way Home,0.512,0.515,0.0355,0.00758,,
spotify:track:6kc2oB01BdngotWCDICoFP,Pants,0.67,0.818,0.0579,0.0307,,
spotify:track:4huOPF1DlqeSkF3PPcUYcJ,O-o-h Child,0.88,0.462,0.0562,0.857,,
spotify:track:1onfcprzpSGh2LqrBh17AA,Lips,0.195,0.591,0.0543,0.494,,
spotify:track:2mSw8R51V3EMp3GnnDDr5q,Pintame - 2008/Live From Las Vegas,0.713,0.904,0.0966,0.538,,
spotify:track:3yKlFGcXOWS6nLHl6H91Dz,Colour - Radio Mix,0.341,0.791,0.0508,0.0361,,
spotify:track:5AJfahYQ4mbhVMhYFznHVR,Siri% Open Tinder,0.56,0.821,0.0648,0.00242,,
spotify:track:0KtWnbGJoFDNrOBf5rBeNu,Come Alive,0.218,0.626,0.0324,0.0343,,
spotify:track:5AheUFhxRKox7XvuGlbh1U,Sunset,0.706,0.35,0.0496,0.0897,,
spotify:track:6x0KUxV3qxKxFfoQikAJvB,Room 410,0.658,0.929,0.0609,0.0346,,
spotify:track:6e3fQ1fC1MX7kfbpyc13Pw,Dinosaur,0.728,0.888,0.177,0.0468,,
spotify:track:3JILPb8Uc6NKmHq1poT5ML,Shut Up,0.561,0.714,0.243,0.0637,,
spotify:track:4OLmzWtuaXy9vebMWUJ30v,You Don't Have To Be Alone,0.546,0.943,0.0653,0.00985,,
spotify:track:1YTz8nFEQi7t0VeZ1ppvy0,Dat $tick (Remix) (feat. Ghostface Killah & Pouya),0.161,0.637,0.0575,0.354,,
spotify:track:4BiqtG2bW4JrNRd2T2mr0j,How Sweet It Is,0.634,0.645,0.0475,0.339,,
spotify:track:2gAGWaK4wvt2xrFUlR4mK8,Jukebox Joints (feat. Joe Fox & Kanye West),0.553,0.803,0.173,0.302,,
spotify:track:3ZUrSzOO4eYLK2DSUc0bsq,Vacuum Bag,0.328,0.841,0.0645,0.104,,
spotify:track:7wkhauJIym1fqmaVOvZWSs,No Sleeep,0.379,0.453,0.072,0.00904,,
spotify:track:5ZpDiWqCG93McsnuHu9uCR,The Safety Dance,0.286,0.742,0.0368,0.0463,,
spotify:track:6iWpG6qKCNHXuWzQi6lqlq,I Don't F**k With You,0.683,0.666,0.0853,0.25,,
spotify:track:0GY7DPFDGWMJhBoih8fvfX,Spring,0.49,0.388,0.0715,0.408,,
spotify:track:1wwDy9AH8OTQXCdgURk5VC,Starlight,0.211,0.588,0.0316,0.00431,,
spotify:track:4NwPsX8FmZgFIavsBWOEwm,Come All Ye,0.817,0.559,0.03,0.0546,,
spotify:track:1yS1hGYGbnnBJfuDuKQTKv,Better Way Of Thinking,0.196,0.366,0.134,0.481,,
spotify:track:0NJDrEZdTbVPMKC0Zbglgn,New York,0.474,0.461,0.0395,0.707,,
spotify:track:7GprMlRqZpBd6LYqar2hBv,Lo Que Son las Cosas,0.338,0.631,0.0268,0.39,,
spotify:track:14QWxcBqi8nZOa4zvJe1m6,O Come Immanuel,0.624,0.607,0.0438,0.343,,
spotify:track:3VRtD1oPhv81c61BW5XRlj,Pray - Album Mix,0.0919,0.421,0.0615,0.253,,
spotify:track:1JY9hsqLWZ3JB3K39Ve1xF,True Colors - Film Version,0.369,0.183,0.037,0.81,,
spotify:track:2IDaot6HBRmqldvBjCp0iA,Dug My Heart,0.601,0.811,0.0903,0.024,,
spotify:track:5Mhmb7EJiUVF55qtsKvVHK,Keep You Much Longer,0.571,0.945,0.0486,0.159,,
spotify:track:38GqVS4rDFnL0291QCiza9,The Black Lake,0.0734,0.454,0.0372,0.166,,
spotify:track:05YPoLB5jbvGwy1o331LrS,Let The Wind Blow - Remastered 2001,0.465,0.372,0.0274,0.835,,
spotify:track:3Z17B3Siq8taXCkRneIHLR,Opening Title,0.0742,0.331,0.0356,0.71,,
spotify:track:24YmWQgunJGAU8El3ndkyn,In the Flesh?,0.267,0.49,0.0391,0.416,,
spotify:track:6Hy22YDN9HJMRlJP1LwnJy,Duke of Earl,0.496,0.28,0.0365,0.824,,
spotify:track:0R97Pd3kB7RU7S7hqfurxJ,Unchained Melody,0.0881,0.268,0.0278,0.548,,
spotify:track:3YDn3QgsE6zAGNicA8xDII,The Rose with the Broken Neck (feat. Jack White),0.272,0.471,0.0307,0.246,,
spotify:track:0fkFS7SD2mTezM01Y8fixA,Celos,0.96,0.517,0.0715,0.153,,
spotify:track:0SGojwNP2zUrgDyeoBQxYO,The Big Bang,0.894,0.816,0.0312,0.124,,
spotify:track:2g8nLbse9JTkO78L2apN6M,Mariah,0.5,0.443,0.0567,0.342,,
spotify:track:6C5BsO0OVrRONMi9skrzVR,R U Still Down? (Remember Me),0.712,0.893,0.134,0.0155,,
spotify:track:6z85mASJnIThoQ491NyIvY,Beer On The Table,0.949,0.949,0.0284,0.068,,
spotify:track:0A4WHcKK8zZodYWfpYo1fA,Group Hang,0.786,0.82,0.347,0.406,,
spotify:track:346GCw2msr77HA5I5NFsKS,What's It to You,0.928,0.571,0.0363,0.026,,
spotify:track:51dYzKOtrVtio3zvNCLdeE,Te Lloré,0.729,0.637,0.0372,0.636,,
spotify:track:4mwnG1PFZrrGrmZsQyd8VY,Build That Wall,0.766,0.516,0.0286,0.252,,
spotify:track:0RFFFGtPn6a58RHY3ccVYX,Si Tu Novio Te Deja Sola,0.535,0.461,0.0614,0.545,,
spotify:track:6X6S0Z0IMNaAvjdweO5Lgh,The Birds Outside Sang,0.039,0.39,0.0312,0.681,,
spotify:track:4NFOXA2nDOvtSaG4Ddf46V,The Leopard and the Lung,0.118,0.839,0.0499,0.00132,,
spotify:track:2TRFIQpTqq12xGpFJEr0Ft,Worth It (feat. Kid Ink),0.594,0.765,0.0882,0.063,,
spotify:track:1ry9AyQVzzK2iDt6vMY2ku,Fuck You Tonight (feat. R. Kelly) - 2014 Remaster,0.716,0.57,0.242,0.18,,
spotify:track:64r5N8eFkpnrEDTHNlHiqx,El Camino de la Vida,0.914,0.748,0.0404,0.792,,
spotify:track:2pMFN3F6mgltunhi19KE4M,Back That,0.326,0.506,0.314,0.736,,
spotify:track:4QOXPy2nuInZBz4wXQqpEv,Big Big World,0.323,0.461,0.0303,0.52,,
spotify:track:4LxX6vXLnrfamm2Suj6WNf,Hurricane,0.337,0.915,0.141,0.00127,,
spotify:track:5jAd9boUvCI7WL3qCyDdIC,Kilo,0.967,0.972,0.0462,0.00153,,
spotify:track:1eyGBxpdEVO40wSNSblGiE,Recognize the Realness,0.523,0.833,0.352,0.144,,
spotify:track:5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,0.385,0.927,0.0733,0.0029,,
spotify:track:6TC908pAOmZDCcdh3c5wrO,The Best Happiness Money Can Buy,0.456,0.73,0.028,0.109,,
spotify:track:2k9erGO99xuCE6ZEDQeDwb,Tears (feat. Ellie Holcomb),0.274,0.659,0.0602,0.284,,
spotify:track:4PvOyXACMH3ACPNyQmzzOd,Love Letters To God,0.292,0.615,0.0331,0.487,,
spotify:track:0bvKQFlBvf1f8r114Rs1DJ,Dance Motherfucker - Original Mix,0.295,0.956,0.095,0.0341,,
spotify:track:2SNWuxYFWwHwuA1jCymke1,Ready When You Are,0.491,0.373,0.0291,0.782,,
spotify:track:6jILFYK7sB9tasERb1RJu8,The Winemaker's Love Song,0.155,0.174,0.0359,0.788,,
spotify:track:3luOZ5lMxb8UWPxLpt0qBC,Never Read Him,0.0726,0.00477,0.0438,0.982,,
spotify:track:4Smc57rqnTjKvz56WJaunv,Happy Song,0.276,0.912,0.0645,3.45E-05,,
spotify:track:3AFImoxgt7EmXHgpaGLbLt,I Found a Reason - 2015 Remaster,0.335,0.289,0.0271,0.0619,,
spotify:track:2kfw7mUGzj5o6iTTa0qUEV,El Coco Rayado Power Radio Mix,0.614,0.484,0.291,0.00199,,
spotify:track:1QVhsKJqQa2ps5qkudCRfI,Come & Get It - DJ M3 Mixshow Extended Remix,0.575,0.787,0.0636,0.0147,,
spotify:track:7y3yhaM5dS2kaJnyNdEtfW,Take Me There,0.629,0.874,0.0925,0.236,,
spotify:track:1xfFPJdRjgDAaMcDgbXwyh,STAR,0.294,0.388,0.282,0.147,,
