uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:3uq7mCsEPhlR9RLvAtwwzL,Déjame Llorar,0.238,0.486,0.0243,0.659,1.61E-05,
spotify:track:1PuHLoIL9LTev7T5ONv5zI,Streets of Fire,0.226,0.626,0.0302,0.162,0.00528,
spotify:track:39HFSqjWEl2Ahe0inOSAuc,Ride With Us,0.565,0.855,0.305,0.244,0,
spotify:track:32hIfLg8b6vGmY86rIA38n,The Alien Song feat. Homeboy Sandman% MC Lars & Geo of Blue Scholars,0.78,0.859,0.328,0.191,0,
spotify:track:0gTaTS82StLVrN0DUKJnhU,Stay Winning (ft. Afro B),0.448,0.58,0.129,0.00974,0,
spotify:track:3h7Eqk9o2v7Etwj4XmLiij,M.L.M.X. (feat. Apoc),0.547,0.799,0.188,0.0135,0.000115,
spotify:track:6N1oIQfs12bKCsKOfV8P9Y,First Defeat,0.229,0.214,0.0298,0.858,0.0021,
spotify:track:1Mznq9fXcKe0VuMsWjErxg,Entr'acte/Wolf Chase,0.164,0.179,0.0428,0.785,0.11,
spotify:track:06k8zoOVmXzD9rm7LDhQYb,A Stroke Of Luck,0.423,0.751,0.0287,0.0341,0.000977,
spotify:track:6yljCYdn6RsTj8oWXPeJCl,Tony Stark,0.72,0.342,0.301,0.0343,0.834,
spotify:track:524FcNstEG0iAHPNAgwXe7,All Out Of Love - Live,0.305,0.705,0.033,0.0928,0,
spotify:track:3NNm7maZCjauZbXTsbXRj2,You Never Let Go,0.23,0.714,0.042,0.0816,1.02E-05,
spotify:track:61OMCRdMORzZKZ5ury05iG,Yesterday,0.77,0.531,0.258,0.524,0,
spotify:track:6dQ5bYDXKAYy7hqDrWwKD8,Constelaciones,0.571,0.855,0.316,0.146,0,
spotify:track:1DS04vnvblo2Lhx3V7swhl,In The Way,0.0359,0.47,0.0442,0.0493,0.293,
spotify:track:1zMZCvE8RLaimZlTmqq2fC,I Came to Party,0.724,0.879,0.0858,0.000343,0,
spotify:track:7gpavVMJwJYFNUzfzUdSv7,Last Child,0.767,0.613,0.0344,0.163,1.66E-06,
spotify:track:1tygoO6VWdXZM79ilOu2lc,We Own The Night (feat. Luciana) [Radio Edit],0.301,0.966,0.0883,0.00157,0.0215,
spotify:track:3RoA99hfOc73Wpz1FX2m8d,Visual Love,0.524,0.7,0.135,0.13,1.56E-05,
spotify:track:1aBog572PXX85NFcRjSjWK,24 Préludes% Op.28: 13. In F Sharp Major,0.0837,0.00355,0.0383,0.995,0.88,
spotify:track:5dkUNxKeFjwbQr4y4LpUFX,I Wanted To Tell Her,0.823,0.576,0.0715,0.0424,1.23E-05,
spotify:track:7nWxZ1OWN4gtVH1mplNRxV,Dollar and a Dream III,0.316,0.726,0.415,0.516,0,
spotify:track:3T6LsTg4jACOSqjmN32uDr,Hare Krishna Hare Krishna,0.82,0.637,0.0334,0.211,0,
spotify:track:6qTOib9yXVAdg6G9UizcDl,Outlines - Zonderling Remix,0.308,0.929,0.0962,0.00269,0.471,
spotify:track:0d8ZbnRoW1TJ3qEleTrYHH,I Want It That Way,0.482,0.694,0.027,0.257,0,
spotify:track:11vEmUTnR1RbTBJiBJbs2j,Collapse (Post-Amerika),0.562,0.974,0.0966,0.00053,2.70E-06,
spotify:track:7brt80lkHwoQV3apdWj2ET,Zombies,0.269,0.666,0.0376,0.206,0.00295,
